--------------------Engine speed[rpm] =  1000.0  Load[%] =   1.0  Cylinder:  1  Cycle No. =  21--------------------
 Crank angle[deg.],      Time_[s],  Burnt mass_[kg],          BMF_[-],     AHRR_[J/deg.],     HRR_[J/deg.]
             109.0,    0.01816667,       0.00040217,       0.93200000,      -0.60937541,       0.00000000
             110.0,    0.01833333,       0.00040217,       0.93200000,      -0.60287464,       0.00000000
             111.0,    0.01850000,       0.00040217,       0.93200000,      -0.60072862,       0.00000000
             112.0,    0.01866667,       0.00040217,       0.93200000,      -0.59457682,       0.00000000
             113.0,    0.01883333,       0.00040217,       0.93200000,      -0.58860955,       0.00000000
             114.0,    0.01900000,       0.00040217,       0.93200000,      -0.58690835,       0.00000000
             115.0,    0.01916667,       0.00040217,       0.93200000,      -0.58125731,       0.00000000
             116.0,    0.01933333,       0.00040217,       0.93200000,      -0.57576900,       0.00000000
             117.0,    0.01950000,       0.00040217,       0.93200000,      -0.57043998,       0.00000000
             118.0,    0.01966667,       0.00040217,       0.93200000,      -0.56526482,       0.00000000
             119.0,    0.01983333,       0.00040217,       0.93200000,      -0.56023831,       0.00000000
             120.0,    0.02000000,       0.00040217,       0.93200000,      -0.55535546,       0.00000000
             121.0,    0.02016667,       0.00040217,       0.93200000,      -0.55457310,       0.00000000
             122.0,    0.02033333,       0.00040217,       0.93200000,      -0.54993235,       0.00000000
             123.0,    0.02050000,       0.00040217,       0.93200000,      -0.54542343,       0.00000000
             124.0,    0.02066667,       0.00040217,       0.93200000,      -0.54104069,       0.00000000
             125.0,    0.02083333,       0.00040217,       0.93200000,      -0.53678010,       0.00000000
             126.0,    0.02100000,       0.00040217,       0.93200000,      -0.53651068,       0.00000000
             127.0,    0.02116667,       0.00040217,       0.93200000,      -0.53245729,       0.00000000
             128.0,    0.02133333,       0.00040217,       0.93200000,      -0.52851345,       0.00000000
             129.0,    0.02150000,       0.00040217,       0.93200000,      -0.52467761,       0.00000000
             130.0,    0.02166667,       0.00040217,       0.93200000,      -0.52094647,       0.00000000
             131.0,    0.02183333,       0.00040217,       0.93200000,      -0.51731691,       0.00000000
             132.0,    0.02200000,       0.00040217,       0.93200000,      -0.51378589,       0.00000000
             133.0,    0.02216667,       0.00040217,       0.93200000,      -0.51035053,       0.00000000
             134.0,    0.02233333,       0.00040217,       0.93200000,      -0.50700805,       0.00000000
             135.0,    0.02250000,       0.00040217,       0.93200000,      -0.50375579,       0.00000000
             136.0,    0.02266667,       0.00040217,       0.93200000,      -0.50059119,       0.00000000
             137.0,    0.02283333,       0.00040217,       0.93200000,      -0.49751180,       0.00000000
             138.0,    0.02300000,       0.00040217,       0.93200000,      -0.49821446,       0.00000000
             139.0,    0.02316667,       0.00040217,       0.93200000,      -0.49527350,       0.00000000
             140.0,    0.02333333,       0.00040217,       0.93200000,      -0.49241264,       0.00000000
             141.0,    0.02350000,       0.00040217,       0.93200000,      -0.48962842,       0.00000000
             142.0,    0.02366667,       0.00040217,       0.93200000,      -0.48691885,       0.00000000
             143.0,    0.02383333,       0.00040217,       0.93200000,      -0.48428199,       0.00000000
             144.0,    0.02400000,       0.00000000,       0.00000000,      -0.48428199,       0.00000000
